1 1 2 2 0.291 0.786 0.786 0.662 2 2 2 1 2 1 2 1 2 2 2 2 2
1 2 2 2 -0.425 1 0.235 0.662 1 1 0.573 1 2 1 2 2 2 2 2 2 2
2 2 2 1 -0.223 0.662 0.21 0.401 0.21 1 2 2 2 2 1 2 1 2 2 2 2
1 2 2 2 -0.354 2 0.401 0.448 0.662 0.786 2 2 2 2 2 2 2 2 2 2 2
0.401 0.401 -0.016 0.786 -1.451 -0.159 -0.372 -0.4 0.034 -0.038 0.448 0.401 1 0.291 0.448 0.235 0.127 0.235 0.21 0.662 0.573
2 2 2 2 -0.144 1 0.504 1 1 2 2 2 2 2 2 2 2 2 2 0.786 2
2 1 0.786 2 -0.434 0.573 0.36 2 1 0.786 2 2 1 2 1 2 0.786 2 2 2 2
1 2 0.504 0.786 -0.3 0.662 0.323 0.323 0.786 0.573 0.786 2 0.504 1 2 2 2 2 2 2 2
2 1 2 2 -0.144 2 1 1 2 2 2 2 2 2 2 2 0.786 2 2 2 2
2 2 2 2 0.093 1 0.401 2 2 2 1 2 2 2 2 2 2 2 2 2 2
0.786 2 2 2 0.261 1 2 2 2 2 1 0.187 2 1 2 2 2 2 2 2 2
2 2 2 2 0.235 2 1 0.662 2 2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 0.36 1 1 2 2 2 2 1 2 0.786 2 2 2 1 2 2 2
2 2 2 2 0.235 2 0.662 2 2 2 2 2 2 2 2 2 2 2 2 2 2
2 1 2 2 0.448 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 0.291 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2
2 2 2 2 0.21 0.786 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2
2 2 2 2 0.235 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
2 2 2 2 0.261 2 2 2 2 1 2 2 1 2 2 2 2 2 2 2 2
2 2 2 2 0.786 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2
2 2 2 2 0.573 2 0.504 2 2 2 2 2 2 2 2 2 2 2 2 2 2
